,Background,betula_papyrifera,tsuga_canadensis,picea_abies,acer_saccharum,betula_sp.,pinus_sylvestris,picea_rubens,betula_alleghaniensis,larix_decidua,fagus_grandifolia,picea_sp.,fagus_sylvatica,dead_tree,acer_pensylvanicum,populus_balsamifera,quercus_ilex,quercus_robur,pinus_strobus,larix_laricina,larix_gmelinii,pinus_pinea,populus_grandidentata,pinus_montezumae,abies_alba,betula_pendula,pseudotsuga_menziesii,fraxinus_nigra,dacrydium_cupressinum,cedrus_libani,acer_pseudoplatanus,pinus_elliottii,cryptomeria_japonica,pinus_koraiensis,abies_holophylla,alnus_glutinosa,fraxinus_excelsior,coniferous,eucalyptus_globulus,pinus_nigra,quercus_rubra,tilia_europaea,abies_firma,acer_sp.,metrosideros_umbellata,acer_rubrum,picea_mariana,abies_balsamea,castanea_sativa,tilia_cordata,populus_sp.,crataegus_monogyna,quercus_petraea,acer_platanoides,robinia_pseudoacacia,fagus_crenata,quercus_sp.,salix_alba,pinus_sp.,carpinus_sp.,deciduous,salix_sp.
populus_sp.,1.00,0.60,1.40,1.33,0.58,0.60,1.33,1.33,0.60,1.33,0.60,1.33,0.60,1.00,0.58,0.10,0.58,0.58,1.33,1.33,1.33,1.33,0.10,1.33,1.33,0.60,1.40,0.60,1.70,1.40,0.58,1.33,1.40,1.33,1.33,0.65,0.60,1.45,1.50,1.33,0.58,0.60,1.33,0.58,1.50,0.58,1.33,1.33,0.65,0.60,0.00,0.60,0.58,0.58,0.60,0.60,0.58,0.35,1.33,0.65,0.58,0.35
crataegus_monogyna,1.00,0.60,1.40,1.33,0.58,0.60,1.33,1.33,0.60,1.33,0.60,1.33,0.60,1.00,0.58,0.60,0.58,0.58,1.33,1.33,1.33,1.33,0.60,1.33,1.33,0.60,1.40,0.60,1.70,1.40,0.58,1.33,1.40,1.33,1.33,0.65,0.60,1.45,1.50,1.33,0.58,0.60,1.33,0.58,1.50,0.58,1.33,1.33,0.65,0.60,0.60,0.00,0.58,0.58,0.60,0.60,0.58,0.65,1.33,0.65,0.58,0.65
quercus_petraea,1.00,0.58,1.38,1.31,0.56,0.58,1.31,1.31,0.58,1.31,0.28,1.31,0.28,1.00,0.56,0.58,0.06,0.06,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.56,1.31,1.38,1.31,1.31,0.63,0.58,1.43,1.48,1.31,0.06,0.58,1.31,0.56,1.48,0.56,1.31,1.31,0.33,0.58,0.58,0.58,0.00,0.56,0.58,0.28,0.06,0.63,1.31,0.63,0.56,0.63
acer_platanoides,1.00,0.58,1.38,1.31,0.06,0.58,1.31,1.31,0.58,1.31,0.58,1.31,0.58,1.00,0.06,0.58,0.56,0.56,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.06,1.31,1.38,1.31,1.31,0.63,0.58,1.43,1.48,1.31,0.56,0.58,1.31,0.06,1.48,0.06,1.31,1.31,0.63,0.58,0.58,0.58,0.56,0.00,0.58,0.58,0.56,0.63,1.31,0.63,0.06,0.63
robinia_pseudoacacia,1.00,0.60,1.40,1.33,0.58,0.60,1.33,1.33,0.60,1.33,0.60,1.33,0.60,1.00,0.58,0.60,0.58,0.58,1.33,1.33,1.33,1.33,0.60,1.33,1.33,0.60,1.40,0.60,1.70,1.40,0.58,1.33,1.40,1.33,1.33,0.65,0.60,1.45,1.50,1.33,0.58,0.60,1.33,0.58,1.50,0.58,1.33,1.33,0.65,0.60,0.60,0.60,0.58,0.58,0.00,0.60,0.58,0.65,1.33,0.65,0.58,0.65
fagus_crenata,1.00,0.60,1.40,1.33,0.58,0.60,1.33,1.33,0.60,1.33,0.10,1.33,0.10,1.00,0.58,0.60,0.28,0.28,1.33,1.33,1.33,1.33,0.60,1.33,1.33,0.60,1.40,0.60,1.70,1.40,0.58,1.33,1.40,1.33,1.33,0.65,0.60,1.45,1.50,1.33,0.28,0.60,1.33,0.58,1.50,0.58,1.33,1.33,0.35,0.60,0.60,0.60,0.28,0.58,0.60,0.00,0.28,0.65,1.33,0.65,0.58,0.65
quercus_sp.,1.00,0.58,1.38,1.31,0.56,0.58,1.31,1.31,0.58,1.31,0.28,1.31,0.28,1.00,0.56,0.58,0.06,0.06,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.56,1.31,1.38,1.31,1.31,0.63,0.58,1.43,1.48,1.31,0.06,0.58,1.31,0.56,1.48,0.56,1.31,1.31,0.33,0.58,0.58,0.58,0.06,0.56,0.58,0.28,0.00,0.63,1.31,0.63,0.56,0.63
salix_alba,1.00,0.65,1.45,1.38,0.63,0.65,1.38,1.38,0.65,1.38,0.65,1.38,0.65,1.00,0.63,0.35,0.63,0.63,1.38,1.38,1.38,1.38,0.35,1.38,1.38,0.65,1.45,0.65,1.75,1.45,0.63,1.38,1.45,1.38,1.38,0.70,0.65,1.50,1.55,1.38,0.63,0.65,1.38,0.63,1.55,0.63,1.38,1.38,0.70,0.65,0.35,0.65,0.63,0.63,0.65,0.65,0.63,0.00,1.38,0.70,0.63,0.16
pinus_sp.,1.00,1.33,0.33,0.26,1.31,1.33,0.06,0.26,1.33,0.26,1.33,0.26,1.33,1.00,1.31,1.33,1.31,1.31,0.06,0.26,0.26,0.06,1.33,0.06,0.26,1.33,0.33,1.33,1.83,0.73,1.31,0.06,0.73,0.06,0.26,1.38,1.33,0.78,1.63,0.06,1.31,1.33,0.26,1.31,1.63,1.31,0.26,0.26,1.38,1.33,1.33,1.33,1.31,1.31,1.33,1.33,1.31,1.38,0.00,1.38,1.31,1.38
carpinus_sp.,1.00,0.35,1.45,1.38,0.63,0.35,1.38,1.38,0.35,1.38,0.65,1.38,0.65,1.00,0.63,0.65,0.63,0.63,1.38,1.38,1.38,1.38,0.65,1.38,1.38,0.35,1.45,0.65,1.75,1.45,0.63,1.38,1.45,1.38,1.38,0.40,0.65,1.50,1.55,1.38,0.63,0.65,1.38,0.63,1.55,0.63,1.38,1.38,0.70,0.65,0.65,0.65,0.63,0.63,0.65,0.65,0.63,0.70,1.38,0.00,0.63,0.70
deciduous,1.00,0.58,1.38,1.31,0.06,0.58,1.31,1.31,0.58,1.31,0.58,1.31,0.58,1.00,0.06,0.58,0.56,0.56,1.31,1.31,1.31,1.31,0.58,1.31,1.31,0.58,1.38,0.58,1.68,1.38,0.06,1.31,1.38,1.31,1.31,0.63,0.58,1.43,1.48,1.31,0.56,0.58,1.31,0.06,1.48,0.06,1.31,1.31,0.63,0.58,0.58,0.58,0.56,0.06,0.58,0.58,0.56,0.63,1.31,0.63,0.00,0.63
salix_sp.,1.00,0.65,1.45,1.38,0.63,0.65,1.38,1.38,0.65,1.38,0.65,1.38,0.65,1.00,0.63,0.35,0.63,0.63,1.38,1.38,1.38,1.38,0.35,1.38,1.38,0.65,1.45,0.65,1.75,1.45,0.63,1.38,1.45,1.38,1.38,0.70,0.65,1.50,1.55,1.38,0.63,0.65,1.38,0.63,1.55,0.63,1.38,1.38,0.70,0.65,0.35,0.65,0.63,0.63,0.65,0.65,0.63,0.16,1.38,0.70,0.63,0.00
